REV,REPORT_TIME,VEHICLE_TAG,LONGITUDE,LATITUDE,SPEED,HEADING,TRAIN_ASSIGNMENT,PREDICTABLE

15210,12/05/2016 00:41:04,02 ,-122.41204,37.79473,0.833,294.0,,0
1526,12/05/2016 00:42:40,01,-122.41204,37.79473,0.833,294.0,,0
1526,12/05/2016 00:44:10,01,-122.41204,37.79473,0.833,294.0,,0
1526,12/05/2016 00:45:40,01,-122.41204,37.79473,0.833,294.0,,0
1526,12/05/2016 00:47:10,02,-122.004,37.79473,0.833,294.0,,0
1526,12/05/2016 00:48:40,01,-122.004,37.79473,0.833,294.0,,0
1528,12/05/2016 00:50:10,02,-122.41204,37.79473,0.833,294.0,,0
1528,12/05/2016 00:51:40,02,-122.41204,37.79473,0.833,294.0,,0
1527,12/05/2016 00:53:10,02,-122.41204,37.79473,0.833,294.0,,0
1527,12/05/2016 00:54:40,02,-122.41204,37.79473,0.833,294.0,,0
1529,12/05/2016 00:56:10,02,-122.904,37.79473,0.833,294.0,,0
1526,12/05/2016 00:57:40,01,-122.904,37.79473,0.833,294.0,,0
1526,12/05/2016 00:59:10,01,-122.904,37.79473,0.833,294.0,,0
1529,12/05/2016 01:00:40,01,-122.904,37.79473,0.833,294.0,,0
1,12/05/2016 01:02:10,04,-122.41204,37.79473,0.833,294.0,,0
5,12/05/2016 01:20:40,04,-122.41204,37.79473,0.833,294.0,,0
